root_id,cell_type
720575941482427299,L3
720575941482491471,L5
720575941482509135,T1
720575941482640207,LAL203
720575941482694141,LC10c
720575941482783055,LC10c
720575941482868815,vDeltaA_a
720575941482868815,vDeltaD
720575941482894927,LAL192
720575941483149763,L2
720575941483149763,LHAV3d1
720575941483648710,L3
720575941483648710,LAL195
720575941483763642,AVLP043
720575941483829955,L4
720575941484222662,L4
720575941484262086,R7
720575941484285638,L2
720575941484355270,T1
720575941484494022,Mi1
720575941484633530,L5
720575941484712189,L5
720575941484732557,R8
720575941484848326,LAL199
720575941484848326,LHAD4a1
720575941484871354,LAL190
720575941484990906,L4
720575941485067661,R8
720575941485143226,L5
720575941485151298,L5
720575941485167110,T1
720575941485300410,LAL193
720575941485366269,LAL128
720575941485855810,R7
720575941486021382,LCe08
720575941486148816,R8
720575941486399629,L5
720575941487166274,L5
720575941487239821,L5
720575941487250242,"LAL171,LAL172"
720575941487407878,Mi1
720575941487456322,L5
720575941487487373,L1
720575941487571266,L5
720575941487695622,L2
720575941487731462,L4
720575941487771533,L5
720575941487838726,L5
720575941487872262,L5
720575941487873602,L1
720575941488146950,L5
720575941488163138,LAL197
720575941488248838,LCe04
720575941488418256,R7
720575941488800565,R7
720575941488965072,R8
720575941489050064,R8
720575941489245136,L5
720575941489669584,LCe04
720575941489791029,L5
720575941489852878,T1
720575941489968949,R8
720575941490351157,LC10c
720575941490526261,LT55
720575941491268812,L4
720575941491314633,L2
720575941491564750,LAL131b
720575941491610572,L5
720575941491750197,L5
720575941491824949,L2
720575941491879477,R7
720575941491908917,R7
720575941491912142,L2
720575941492046901,LAL185
720575941492046901,LAL197
720575941492102601,T1
720575941492193255,L1
720575941492228297,LC10c
720575941492228553,LAL167a
720575941492306919,L1
720575941492449998,T1
720575941492450510,L5
720575941492474318,R8
720575941492511152,LMTe01
720575941492564686,T1
720575941492582862,L5
720575941492686796,L5
720575941493028812,T1
720575941493135591,R8
720575941493202864,L5
720575941493248743,TmY3
720575941493248999,L5
720575941493504743,KCab-p
720575941493504999,LC28a
720575941493751934,T1
720575941494308528,LAL098
720575941494454910,R7
720575941494525616,L4
720575941494576304,R7
720575941494856624,LAL099
720575941494912176,LPC2
720575941495083134,LAL139
720575941495264382,L5
720575941495715015,R7
720575941495727230,L5
720575941496393086,L3
720575941496548807,L2
720575941496686718,LC28a
720575941496903040,LC10c
720575941496912327,L4
720575941496972923,L5
720575941497414087,LC14a2
720575941497441479,L2
720575941497475527,L1
720575941497536967,LC28a
720575941497858432,L5
720575941498116736,R8
720575941498211968,L5
720575941498633035,L1
720575941498974843,L5
720575941499572642,L5
720575941499659643,LHAV3e3a
720575941499792201,L5
720575941499826594,LAL185
720575941499826594,LHAV2b9
720575941499958753,LAL140
720575941499974267,L4
720575941500013793,L5
720575941500043131,L1
720575941500127201,L5
720575941500228321,L5
720575941500300513,SMP580
720575941500704737,LAL196
720575941500793161,L5
720575941501112482,R7
720575941501322402,T1
720575941501650082,LAL194
720575941501693090,LAL090
720575941502241879,LC10c
720575941502459991,LHAV1d2
720575941502567819,LC18
720575941502877579,T1
720575941502884491,L4
720575941502946539,L4
720575941503083915,T1
720575941503197163,R7
720575941503227787,T1
720575941503586955,R7
720575941503619979,LCe04
720575941503619979,R8
720575941503811723,LC10e
720575941503862507,L2
720575941503891595,L5
720575941503904395,Mi1
720575941504253015,Mi1
720575941504282199,R8
720575941504398501,R8
720575941504501298,L2
720575941504525477,LAL191
720575941504690007,L4
720575941504849573,L5
720575941504925163,L5
720575941504999511,LAL197
720575941505014722,R7
720575941505052503,L5
720575941505056343,R7
720575941505113067,LHAV3g1
720575941505122027,LHAV1d1
720575941505122027,LHAV3a1_c
720575941505141335,L5
720575941505149419,"LAL173,LAL174"
720575941505149419,LAL185
720575941505149419,T1
720575941505225047,L1
720575941505355570,L4
720575941505360471,L1
720575941505584983,"LAL160,LAL161"
720575941505647042,L4
720575941505709362,L5
720575941505777202,R7
720575941505991474,L5
720575941506028860,L5
720575941506100418,L4
720575941506442317,R8
720575941506476348,R8
720575941506601541,L1
720575941506753445,L2
720575941507167873,L5
720575941507292988,L5
720575941507397797,R8
720575941507398460,L5
720575941507433020,R7
720575941507440188,L1
720575941507518012,L5
720575941507652924,L4
720575941507653180,L4
720575941507665829,T1
720575941507666341,R8
720575941507793175,R7
720575941507839397,L4
720575941507911262,LHPV5c3
720575941508016956,LPC2
720575941508118039,T1
720575941508124695,L2
720575941508155230,C3
720575941508201751,T1
720575941508510277,R7
720575941508631319,LC10f
720575941508718661,L5
720575941508855621,L5
720575941509183326,LAL146
720575941509183326,LHAV2g3
720575941509419810,LAL090
720575941509419810,LHAV2b6
720575941509526110,T1
720575941509612126,L5
720575941509619038,L2
720575941509632546,L4
720575941509633630,L4
720575941509639041,R7
720575941509684097,L5
720575941509737822,L4
720575941509744734,L5
720575941509744734,LAL183
720575941509912961,T1
720575941510051713,L5
720575941510333968,L2
720575941510918160,L5
720575941511037968,LAL081
720575941511037968,LAL138
720575941511176976,T1
720575941511294418,L5
720575941511649808,L3
720575941511740688,L2
720575941511851986,R7
